F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,Target
USA,-48.2,315.96,Very high,5570.88,6.27,-312.93,-16.65,-58.22,44.07,2919.36,-1988.43,32.27,1664.96,3.52,569.98,-26.6,65.07,299.34,3,1570.87,3,-1901.26,128.02,4223.32,-489.08,232.92,-2216.88,55.62,4.82,15875.29,7.74,-2128.09,-2070.68,509.59
Europe,-75.2,162.15,Very high,6124.62,2.52,-318.66,-11.73,-53.51,70.83,-1171.56,-1734.9,30.27,1625.46,-19.7,205.09,-20.45,124.8,207.56,4,3129.82,4,-1972.92,10.16,4193.68,-668.18,281.4,-2459.44,51.3,4.34,16457.48,12.78,-2364.44,-2539.32,-8.93
UK,-62.12,346.29,Very high,12506.61,-2.85,-257.34,-1.26,-79.76,65.64,-225.09,-1996.32,23.42,926.54,-10.2,907.5,-27,168.3,299,5,7139.11,7,-3721.2,0.1,3726.64,-402.94,68.31,-2193.54,47.36,10.54,16357.37,30.81,-2157.3,-716.58,-8.93
Europe,-70.74,280.32,Medium,20098.2,9.33,-175.35,-7.31,-90.7,63.72,1604.97,-1589.97,18.9,468.54,-4.16,124.18,-29.34,184.11,293.2,7,8089.26,3,-1791.78,403.26,4203.58,-1177,210.12,-1744.52,45.98,3.7,9928.8,3.93,-1996.3,-2105.34,22.18
Europe,-63,264.69,Very low,13388.76,3.3,-195.51,-6.98,-126.49,56.1,-556.32,-1704.93,27.17,554.18,-13.9,-192.28,-24.31,224.97,588.34,4,6924.71,8,-1322.74,0.08,4717.26,15.94,306.99,-2628.38,36.42,7.92,20893.27,6.3,-1937.3,-3366.82,170.98
UK,-65.78,260.25,Very low,21210.21,0.9,-347.43,-12.65,-90.03,66.12,-45.63,-447.15,25.64,1551.5,-4.1,50.38,-32.83,301.47,258.72,3,-737.47,5,-3332.42,1423.87,3596.72,-393.84,134.82,-1970.42,59.54,5.58,12137.37,14.04,-871.57,-3123.46,257.84
Europe,-69.18,25.32,Very low,14705.82,-19.35,-284.25,-8.13,-66.55,48.87,186.18,-1684.53,21.64,1263.5,-6.48,284.85,-31.33,215.34,206.06,5,7852.07,2,-971.64,0.11,4457.66,-611.6,12.51,-2404.5,50,12.7,16100.57,10.53,-1933.18,-1438.04,-8.93
Rest,-67.36,350.01,Medium,30731.76,6.06,-234.9,-6.1,-72.95,40.56,1328.1,-340.89,24.14,809.9,-10.36,914.22,-25.93,150.54,198.78,4,4490.5,4,-1348.98,55.97,4327.68,-695.22,152.97,-2038.92,46.9,13.88,15993.16,9.69,-2680.58,-2406.8,22.2
Rest,-71.32,203.97,Low,28370.4,6.09,-235.05,-1.99,-67.36,55.74,-693.12,-354.36,24.42,756.06,4,41.22,-26.41,279.3,279.6,4,6984.85,7,-3186.16,0,4228.64,-1124.2,209.07,-1485.52,38.68,10.88,15533.99,21.84,-1871.44,-2652.04,81.85
UK,-57.46,305.07,Very low,26482.47,9.81,-265.5,-11.43,-76.34,53.28,317.4,-978.93,36.71,102.04,-9.4,121.86,-30.25,179.1,269.08,2,3181.33,2,-1584.84,228.44,4594.92,-1191.32,259.95,-1687.98,46.12,6.78,14224.16,9.72,-1809.28,-1178.44,2.19
